"country","year","gdp","population","gini"
Bulgaria,2011,51568094264.4734,7348328.0,34.3
Bulgaria,2012,51751979375.9177,7305888.0,36.0
Bulgaria,2013,51920571507.3287,7265115.0,36.6
Bulgaria,2014,52899515523.1699,7223938.0,37.4
Bulgaria,2015,55010127749.7693,7177991.0,38.6
Bulgaria,2016,57111753665.4351,7127822.0,40.6
Bulgaria,2017,59112236490.8388,7075947.0,40.4
Bulgaria,2018,60940251461.1954,7025037.0,41.3
Croatia,2006,61197075793.9092,4311159.0,
Croatia,2007,64298314188.4647,4310217.0,
Croatia,2008,65515772483.174,4309705.0,
Croatia,2009,60717700435.3099,4305181.0,32.6
Croatia,2010,59918313669.1671,4295427.0,32.4
Croatia,2011,59799454151.6423,4280622.0,32.3
Croatia,2012,58369186194.0968,4267558.0,32.5
Croatia,2013,58108222128.8461,4255689.0,32.0
Croatia,2014,57909810141.88,4238389.0,32.1
Croatia,2015,59318112197.5722,4203604.0,31.1
Croatia,2016,61393139836.7654,4174349.0,30.9
Croatia,2017,63504583355.145,4124531.0,30.4
Croatia,2018,65287544197.8689,4087843.0,29.7
Cyprus,2006,23632463210.924,1045508.0,31.1
Cyprus,2007,24837262362.4553,1063708.0,31.1
Cyprus,2008,25743030624.42,1081568.0,31.7
Cyprus,2009,25224241018.1625,1098089.0,32.1
Cyprus,2010,25732432719.0773,1112617.0,31.5
Cyprus,2011,25835732467.1881,1124837.0,32.6
Cyprus,2012,24945220734.4558,1135046.0,34.3
Cyprus,2013,23310540898.8466,1143866.0,37.0
Cyprus,2014,22884119050.7756,1152297.0,35.6
Cyprus,2015,23620660214.7687,1160987.0,34.0
Cyprus,2016,25141372133.1035,1170189.0,32.9
Cyprus,2017,26437353837.9955,1179685.0,31.4
Cyprus,2018,27822868885.059,1189262.0,32.7
Czech Republic,2006,197470142753.551,10238905,26.7
Czech Republic,2007,208469898850.69,10298828,26.0
Czech Republic,2008,214070259127.502,10384603,26.3
Czech Republic,2009,204100298391.036,10443936,26.2
Czech Republic,2010,209069940963.177,10474410,26.6
Czech Republic,2011,212750323790.759,10496088,26.4
Czech Republic,2012,211080224602.858,10510785,26.1
Czech Republic,2013,210983331025.624,10514272,26.5
Czech Republic,2014,215755991069.112,10525347,25.9
Czech Republic,2015,227381745549.048,10546059,25.9
Czech Republic,2016,233151067380.883,10566332,25.4
Czech Republic,2017,245202003265.939,10594438,24.9
Czech Republic,2018,253045172103.95,10629928,25.0
Denmark,2006,331090561927.791,5437272.0,25.9
Denmark,2007,334100966204.774,5461438.0,26.2
Denmark,2008,332390313313.103,5493621.0,25.2
Denmark,2009,316081423941.657,5523095.0,26.7
Denmark,2010,321995279401.502,5547683.0,27.2
Denmark,2011,326299640707.019,5570572.0,27.3
Denmark,2012,327038708713.874,5591572.0,27.8
Denmark,2013,330091094977.815,5614932.0,28.5
Denmark,2014,335436569740.648,5643475.0,28.4
Denmark,2015,343294476994.931,5683483.0,28.2
Denmark,2016,354437668050.905,5728010.0,28.2
Denmark,2017,364438964537.519,5764980.0,28.7
Denmark,2018,372367867708.325,5793636.0,28.2
Estonia,2006,1403205243.69945,1346810.0,33.7
Estonia,2007,1509478087.87613,1340680.0,31.2
Estonia,2008,1432661648.36718,1337090.0,31.9
Estonia,2009,1225873125.80184,1334515.0,31.4
Estonia,2010,1258853226.89866,1331475.0,32.0
Estonia,2011,1352344121.715,1327439.0,32.5
Estonia,2012,1394405238.91226,1322696.0,32.9
Estonia,2013,1413176509.34604,1317997.0,35.1
Estonia,2014,1455392682.02426,1314545.0,34.6
Estonia,2015,1482243027.71369,1315407.0,32.7
Estonia,2016,1529494224.16303,1315790.0,31.2
Estonia,2017,1613603477.8319,1317384.0,30.4
Estonia,2018,1683883408.75594,1321977.0,30.3
Finland,2006,247779130164.083,5266268.0,28.0
Finland,2007,260909780066.563,5288720.0,28.3
Finland,2008,262955299855.628,5313399.0,27.8
Finland,2009,241723112398.309,5338871.0,27.5
Finland,2010,249424310816.667,5363352.0,27.7
Finland,2011,255778806281.83,5388272.0,27.6
Finland,2012,252204180501.055,5413971.0,27.1
Finland,2013,249930064696.187,5438972.0,27.2
Finland,2014,249018049503.61,5461512.0,26.8
Finland,2015,250371859068.695,5479531.0,27.1
Finland,2016,257410958145.949,5495303.0,27.1
Finland,2017,265628570361.662,5508214.0,27.4
Finland,2018,269113179058.496,5515525.0,27.3
France,2006,2601491774613.78,63621376,29.7
France,2007,2664571088541.21,64016227,32.4
France,2008,2671364304886.08,64374979,33.0
France,2009,2594607624904.28,64707035,32.7
France,2010,2645187882116.67,65027505,33.7
France,2011,2703188933543.06,65342789,33.3
France,2012,2711653557481.26,65659814,33.1
France,2013,2727281540260.42,65998685,32.5
France,2014,2753359344138.85,66312067,32.3
France,2015,2784001820060.14,66548272,32.7
France,2016,2814499568997.83,66724104,31.9
France,2017,2878991574857.68,66918020,31.6
France,2018,2930607976267.93,67101930,32.4
Georgia,2006,10372742886.2052,3880347.0,36.9
Georgia,2007,11677525383.3677,3860158.0,38.1
Georgia,2008,11959954702.7672,3848449.0,38.5
Georgia,2009,11523354926.1179,3814419.0,38.2
Georgia,2010,12243505582.6741,3786695.0,39.5
Georgia,2011,13149524979.5255,3756441.0,39.6
Georgia,2012,13987019317.7155,3728874.0,39.0
Georgia,2013,14493531996.848,3717668.0,38.6
Georgia,2014,15135874439.1589,3719414.0,37.6
Georgia,2015,15593311953.5165,3725276.0,36.5
Georgia,2016,16046522019.2231,3727505.0,36.6
Georgia,2017,16823591412.0209,3728004.0,37.9
Georgia,2018,17638344465.896,3726549.0,36.4
Germany,2006,3328325430555.39,82376451,31.3
Germany,2007,3427391543620.05,82266372,31.3
Germany,2008,3460290359872.83,82110097,31.1
Germany,2009,3263267090017.34,81902307,30.5
Germany,2010,3399667820000.01,81776930,30.2
Germany,2011,3533111333252.44,80274983,30.5
Germany,2012,3547897319183.13,80425823,30.9
Germany,2013,3563422609296.38,80645605,31.1
Germany,2014,3642157979491.28,80982500,30.9
Germany,2015,3696496482672.59,81686611,31.7
Germany,2016,3778928349350.17,82348669,31.9
Germany,2017,3877255158232.27,82657002,
Germany,2018,3926418568780.85,82905782,
Greece,2006,319132136925.793,11020362,35.1
Greece,2007,329579715229.25,11048473,34.0
Greece,2008,328475055055.053,11077841,33.6
Greece,2009,314348217058.93,11107017,33.6
Greece,2010,297124961971.501,11121341,34.1
Greece,2011,266968814916.016,11104899,34.8
Greece,2012,248061138528.468,11045011,36.3
Greece,2013,241259867501.329,10965211,36.1
Greece,2014,242944211867.598,10892413,35.8
Greece,2015,241943520921.99,10820883,36.0
Greece,2016,240758353595.684,10775971,35.0
Greece,2017,243842046377.8,10754679,34.4
Greece,2018,247643489387.938,10732882,32.9
Hungary,2006,138021450771.415,10071370,28.3
Hungary,2007,138355712640.943,10055780,27.9
Hungary,2008,139819916274.643,10038188,27.5
Hungary,2009,130452605289.135,10022650,27.0
Hungary,2010,131916516051.985,10000023,29.4
Hungary,2011,134471881165.37,9971727.0,29.2
Hungary,2012,132615331004.73,9920362.0,30.8
Hungary,2013,135082972930.623,9893082.0,31.5
Hungary,2014,140795565306.983,9866468.0,30.9
Hungary,2015,146173151085.081,9843028.0,30.4
Hungary,2016,149301250250.029,9814023.0,30.3
Hungary,2017,155746258233.436,9787966.0,30.6
Hungary,2018,164156103282.558,9775564.0,29.6
Iceland,2006,13826344571.668,303782.0,30.2
Iceland,2007,14995342661.6113,311566.0,29.5
Iceland,2008,15326664220.7095,317414.0,31.8
Iceland,2009,14152057862.8939,318499.0,28.7
Iceland,2010,13751161917.7398,318041.0,26.2
Iceland,2011,14004977998.1585,319014.0,26.8
Iceland,2012,14153940071.0105,320716.0,26.8
Iceland,2013,14798292576.4812,323764.0,25.4
Iceland,2014,15047971591.1662,327386.0,27.8
Iceland,2015,15715599487.2528,330815.0,26.8
Iceland,2016,16706261705.8402,335439.0,27.2
Iceland,2017,17407080835.653,343400.0,26.1
Iceland,2018,18227792282.9059,352721.0,
Ireland,2006,228618540241.807,4273591.0,32.7
Ireland,2007,240778055809.957,4398942.0,31.9
Ireland,2008,230091285255.947,4489544.0,30.9
Ireland,2009,218414850981.939,4535375.0,32.7
Ireland,2010,222287851794.584,4560155.0,32.3
Ireland,2011,223624003883.013,4580084.0,32.9
Ireland,2012,223909812167.535,4599533.0,33.2
Ireland,2013,226656857706.201,4623816.0,33.5
Ireland,2014,246241019995.408,4657740.0,31.9
Ireland,2015,308235649867.516,4701957.0,31.8
Ireland,2016,314381129555.559,4755335.0,32.8
Ireland,2017,343082365981.679,4807388.0,31.4
Ireland,2018,372300617924.262,4867316.0,
Italy,2006,2205941135644.34,58143979,33.7
Italy,2007,2238745090235.33,58438310,32.9
Italy,2008,2217208074999.43,58826731,33.8
Italy,2009,2100118708781.5,59095365,33.8
Italy,2010,2136099955236.67,59277417,34.7
Italy,2011,2151209302546.05,59379449,35.1
Italy,2012,2087083780359.59,59539717,35.2
Italy,2013,2048659201948.41,60233948,34.9
Italy,2014,2048566038303.31,60789140,34.7
Italy,2015,2064510116906.73,60730582,35.4
Italy,2016,2091213785858.19,60627498,35.2
Italy,2017,2126092284053.69,60536709,35.9
Italy,2018,2146114485858.04,60421760,
Latvia,2006,38970904830.6932,2218357.0,35.6
Latvia,2007,42878556292.9244,2200325.0,37.5
Latvia,2008,41451858072.2391,2177322.0,37.2
Latvia,2009,35540939762.4485,2141669.0,36.0
Latvia,2010,33974713228.7101,2097555.0,35.0
Latvia,2011,36172486448.4331,2059709.0,35.8
Latvia,2012,37710440391.8362,2034319.0,35.2
Latvia,2013,38581617963.9437,2012647.0,35.5
Latvia,2014,38995843365.7812,1993782.0,35.1
Latvia,2015,40558357687.4366,1977527.0,34.2
Latvia,2016,41520776742.7396,1959537.0,34.3
Latvia,2017,42870501056.9186,1942248.0,35.6
Latvia,2018,44595743365.806,1927174.0,35.1
Liechtenstein,2006,,34975.0,
Liechtenstein,2007,,35217.0,
Liechtenstein,2008,,35469.0,
Liechtenstein,2009,,35723.0,
Liechtenstein,2010,5082366478.08994,35996.0,
Liechtenstein,2011,,36299.0,
Liechtenstein,2012,,36615.0,
Liechtenstein,2013,,36940.0,
Liechtenstein,2014,,37219.0,
Liechtenstein,2015,,37465.0,
Liechtenstein,2016,,37655.0,
Liechtenstein,2017,,37805.0,
Liechtenstein,2018,,37918.0,
Lithuania,2006,10897964391.0828,3269909.0,34.4
Lithuania,2007,12108453621.6011,3231294.0,34.8
Lithuania,2008,12425019822.0591,3198231.0,35.7
Lithuania,2009,10581319790.3218,3162916.0,37.2
Lithuania,2010,10756042844.3535,3097282.0,33.6
Lithuania,2011,11405601149.4605,3028115.0,32.5
Lithuania,2012,11844017031.4634,2987773.0,35.1
Lithuania,2013,12264488263.5827,2957689.0,35.3
Lithuania,2014,12698284425.0764,2932367.0,37.7
Lithuania,2015,12955371854.0676,2904910.0,37.4
Lithuania,2016,13281695423.2095,2868231.0,38.4
Lithuania,2017,13850496906.4725,2828403.0,37.3
Lithuania,2018,14395769626.2351,2801543.0,35.7
Luxembourg,2006,49648546045.1779,472637.0,30.9
Luxembourg,2007,53796460668.8657,479993.0,31.1
Luxembourg,2008,53108088559.7831,488650.0,32.6
Luxembourg,2009,50793315934.8984,497783.0,31.2
Luxembourg,2010,53264394998.6001,506953.0,30.5
Luxembourg,2011,54616903567.9042,518347.0,32.1
Luxembourg,2012,54424368010.6887,530946.0,34.3
Luxembourg,2013,56413236518.3812,543360.0,32.0
Luxembourg,2014,58837192739.3142,556319.0,31.2
Luxembourg,2015,61370976137.0688,569604.0,32.9
Luxembourg,2016,64178453456.4681,582014.0,31.7
Luxembourg,2017,65334423537.5936,596336.0,34.5
Luxembourg,2018,67366870478.9246,607950.0,35.4
Malta,2006,7960297513.94763,405308.0,28.0
Malta,2007,8340378285.12884,406724.0,29.2
Malta,2008,8659511134.94235,409379.0,29.0
Malta,2009,8561323235.70686,412477.0,30.2
Malta,2010,9035932122.49768,414508.0,29.0
Malta,2011,9078134520.83534,416268.0,29.1
Malta,2012,9451945528.64474,420028.0,29.4
Malta,2013,9969284127.5679,425967.0,28.8
Malta,2014,10730293230.9693,434558.0,29.0
Malta,2015,11761274055.5891,445053.0,29.4
Malta,2016,12242418065.7844,455356.0,29.1
Malta,2017,13236432054.2372,467999.0,29.2
Malta,2018,13921976625.3068,484630.0,28.7
Monaco,2006,5145300278.40382,34189.0,
Monaco,2007,5887710460.02917,34524.0,
Monaco,2008,5926971761.89845,34860.0,
Monaco,2009,5257223916.21371,35223.0,
Monaco,2010,5367625613.15127,35609.0,
Monaco,2011,5743359406.07185,36025.0,
Monaco,2012,5800793053.16187,36459.0,
Monaco,2013,6357669097.17619,36899.0,
Monaco,2014,6815421317.77807,37320.0,
Monaco,2015,7149376905.74042,37723.0,
Monaco,2016,7399605196.87127,38070.0,
Monaco,2017,7148018560.25454,38392.0,
Monaco,2018,7584047726.36882,38682.0,
Montenegro,2006,3737915560.04535,615025.0,
Montenegro,2007,3992473234.91718,615875.0,
Montenegro,2008,4280841227.25932,616969.0,
Montenegro,2009,4032762450.51021,618294.0,
Montenegro,2010,4143033275.88493,619428.0,
Montenegro,2011,4276787738.05463,620079.0,
Montenegro,2012,4160296612.28314,620601.0,41.2
Montenegro,2013,4307944887.65039,621207.0,39.0
Montenegro,2014,4384784936.38777,621810.0,38.8
Montenegro,2015,4533444861.21991,622159.0,39.0
Montenegro,2016,4667151600.8246,622303.0,38.5
Montenegro,2017,4887274946.92473,622373.0,
Montenegro,2018,5135444172.57865,622227.0,
Netherlands,2006,818656877650.488,16346101,30.0
Netherlands,2007,849543512429.438,16381696,29.6
Netherlands,2008,867981366402.608,16445593,29.3
Netherlands,2009,836153497098.728,16530388,27.9
Netherlands,2010,847380859016.668,16615394,27.8
Netherlands,2011,860525340337.452,16693074,27.8
Netherlands,2012,851658883145.551,16754962,27.6
Netherlands,2013,850550233737.807,16804432,28.1
Netherlands,2014,862656926597.85,16865008,28.6
Netherlands,2015,879557839900.357,16939923,28.2
Netherlands,2016,898835229746.291,17030314,28.2
Netherlands,2017,924999447038.053,17131296,28.5
Netherlands,2018,946837898609.854,17231624,28.1
North Macedonia,2006,8138242511.94872,2063132.0,
North Macedonia,2007,8665070571.39311,2065408.0,
North Macedonia,2008,9139223353.51773,2067309.0,
North Macedonia,2009,9106448740.75946,2069030.0,42.8
North Macedonia,2010,9412311665.9492,2070737.0,40.2
North Macedonia,2011,9632549033.15179,2072484.0,39.4
North Macedonia,2012,9588606960.45675,2074275.0,38.1
North Macedonia,2013,9869098420.48675,2076065.0,36.2
North Macedonia,2014,10227260191.7624,2077780.0,35.2
North Macedonia,2015,10621609552.3164,2079335.0,35.6
North Macedonia,2016,10924134787.2329,2080746.0,34.5
North Macedonia,2017,11042309099.238,2081996.0,34.2
North Macedonia,2018,11360393491.8192,2082957.0,33.0
Norway,2006,418661275147.645,4660677.0,26.4
Norway,2007,431197048129.248,4709153.0,27.1
Norway,2008,433251184624.934,4768212.0,27.0
Norway,2009,425768848675.368,4828726.0,26.2
Norway,2010,428757038466.841,4889252.0,25.7
Norway,2011,432965007871.716,4953088.0,25.3
Norway,2012,444668526003.851,5018573.0,25.7
Norway,2013,449266722786.278,5079623.0,26.4
Norway,2014,458115229920.278,5137232.0,26.8
Norway,2015,467126944887.83,5188607.0,27.5
Norway,2016,472132485600.729,5234519.0,28.5
Norway,2017,483101343264.083,5276968.0,27.0
Norway,2018,488506420357,5311916.0,27.6
Poland,2006,403192683978.377,38141267,34.7
Poland,2007,431664312008.755,38120560,34.0
Poland,2008,449794050343.249,38125759,33.5
Poland,2009,462533048121.248,38151603,33.4
Poland,2010,479834179020.33,38042794,33.2
Poland,2011,502662952276.722,38063255,33.2
Poland,2012,509322687626.439,38063164,33.0
Poland,2013,515056478625.676,38040196,33.1
Poland,2014,532458063874.241,38011735,32.8
Poland,2015,555014724902.995,37986412,31.8
Poland,2016,572451795841.21,37970087,31.2
Poland,2017,600104964680.131,37974826,29.7
Poland,2018,632232812655.457,37974750,30.2
Portugal,2006,234931199934.205,10522288,38.1
Portugal,2007,240819937572.726,10542964,36.8
Portugal,2008,241588750226.565,10558177,36.6
Portugal,2009,234046157573.901,10568247,34.9
Portugal,2010,238113003233.284,10573100,35.8
Portugal,2011,234074214334.376,10557560,36.3
Portugal,2012,224577136198.924,10514844,36.0
Portugal,2013,222505087211.577,10457295,36.2
Portugal,2014,224267750933.647,10401062,35.6
Portugal,2015,228286732295.719,10358076,35.5
Portugal,2016,232896949514.553,10325452,35.2
Portugal,2017,241063120722.329,10300300,33.8
Portugal,2018,247931796009.536,10283822,33.5
Romania,2006,156266346693.626,21193760,39.6
Romania,2007,167570353781.434,20882982,37.5
Romania,2008,183166909447.59,20537875,36.4
Romania,2009,173060868628.322,20367487,35.6
Romania,2010,166309355234.589,20246871,35.5
Romania,2011,169479324149.248,20147528,35.9
Romania,2012,172937829621.072,20058035,36.5
Romania,2013,179459249986.084,19983693,36.9
Romania,2014,185935438388.184,19908979,36.0
Romania,2015,191427365158.106,19815616,35.9
Romania,2016,200430189829.58,19702267,34.4
Romania,2017,215100574411.243,19588715,36.0
Romania,2018,224725300753.379,19473970,35.8
San Marino,2006,2082324147.78876,29694.0,
San Marino,2007,2230363289.08025,30068.0,
San Marino,2008,2219190523.69976,30434.0,
San Marino,2009,1990148833.39972,30825.0,
San Marino,2010,1881214370.93994,31221.0,
San Marino,2011,1724795655.61309,31655.0,
San Marino,2012,1603291832.10026,32103.0,
San Marino,2013,1590722471.04721,32554.0,
San Marino,2014,1579549705.66672,32941.0,
San Marino,2015,1615745175.01546,33270.0,
San Marino,2016,1653624799.59014,33503.0,
San Marino,2017,1657895541.39012,33671.0,
San Marino,2018,1683506067.26526,33784.0,
Serbia,2006,37953228515.7138,7411569.0,
Serbia,2007,40397236364.6127,7381579.0,
Serbia,2008,42681933020.219,7350222.0,
Serbia,2009,41515968465.9198,7320807.0,
Serbia,2010,41819468691.8251,7291436.0,
Serbia,2011,42671028784.1099,7234099.0,
Serbia,2012,42380207643.5152,7199077.0,39.9
Serbia,2013,43606113097.5697,7164132.0,39.5
Serbia,2014,42912989429.7754,7130576.0,40.5
Serbia,2015,43688023451.3019,7095383.0,40.5
Serbia,2016,45146586020.325,7058322.0,38.8
Serbia,2017,46095189764.125,7020858.0,36.2
Serbia,2018,48167224454.1516,6982604.0,
Slovenia,2006,46464917542.2106,2006868.0,24.4
Slovenia,2007,49708243481.106,2018122.0,24.4
Slovenia,2008,51452924048.1751,2021316.0,23.7
Slovenia,2009,47569032084.5723,2039669.0,24.8
Slovenia,2010,48208240226.4501,2048583.0,24.9
Slovenia,2011,48623471168.9764,2052843.0,24.9
Slovenia,2012,47340084426.0571,2057159.0,25.6
Slovenia,2013,46852821092.7902,2059953.0,26.2
Slovenia,2014,48149781597.2791,2061980.0,25.7
Slovenia,2015,49213931063.9334,2063531.0,25.4
Slovenia,2016,50784767161.7182,2065042.0,24.8
Slovenia,2017,53219159738.4832,2066388.0,24.2
Slovenia,2018,55552554713.0659,2073894.0,24.6
Spain,2006,1411461390559.29,44397319,33.5
Spain,2007,1462340169523.89,45226803,34.1
Spain,2008,1475313249889.36,45954106,34.2
Spain,2009,1419793790647.73,46362946,34.9
Spain,2010,1422108199783.34,46576897,35.2
Spain,2011,1410526928100.77,46742697,35.7
Spain,2012,1368783211618.46,46773055,35.4
Spain,2013,1349135775978.08,46620045,36.2
Spain,2014,1367806573139.25,46480882,36.1
Spain,2015,1420264316878.6,46444832,36.2
Spain,2016,1463316808003.09,46484062,35.8
Spain,2017,1506830599353.93,46593236,34.7
Spain,2018,1543447293320.58,46797754,34.7
Sweden,2006,475064446275.73,9080505.0,26.4
Sweden,2007,491402966162.082,9148092.0,27.1
Sweden,2008,489188904610.127,9219637.0,28.1
Sweden,2009,467959130636.214,9298515.0,27.3
Sweden,2010,495812558843.31,9378126.0,27.7
Sweden,2011,511655422318.786,9449213.0,27.6
Sweden,2012,508645330091.796,9519374.0,27.6
Sweden,2013,514686895802.716,9600379.0,28.8
Sweden,2014,528366235242.641,9696110.0,28.4
Sweden,2015,552086083358.095,9799186.0,29.2
Sweden,2016,563517539985.087,9923085.0,29.6
Sweden,2017,577988245098.533,10057698,28.8
Sweden,2018,589259147923.413,10175214,30.0
Switzerland,2006,558432011619.952,7483934.0,33.9
Switzerland,2007,580745403737.188,7551117.0,34.3
Switzerland,2008,596747909749.776,7647675.0,33.8
Switzerland,2009,584337741980.175,7743831.0,32.9
Switzerland,2010,603434493402.679,7824909.0,32.6
Switzerland,2011,615023126905.369,7912398.0,31.7
Switzerland,2012,622509149394.166,7996861.0,31.6
Switzerland,2013,633849198063.623,8089346.0,32.5
Switzerland,2014,649358506468.394,8188649.0,32.5
Switzerland,2015,660123368612.609,8282396.0,32.3
Switzerland,2016,673624122427.937,8373338.0,33.0
Switzerland,2017,684299849661.364,8451840.0,32.7
Switzerland,2018,704920576240.946,8514329.0,33.1
Ukraine,2006,139607929641.793,46787786,29.8
Ukraine,2007,150209086270.689,46509355,27.0
Ukraine,2008,153669941036.719,46258189,26.6
Ukraine,2009,130990467246.875,46053331,25.3
Ukraine,2010,136013155905.036,45870741,24.8
Ukraine,2011,143446957451.616,45706086,24.6
Ukraine,2012,143789339118.051,45593342,24.7
Ukraine,2013,143750950398.359,45489648,24.6
Ukraine,2014,134331480637.625,45272155,24.0
Ukraine,2015,121203317705.377,45154036,25.5
Ukraine,2016,123912293812.632,45004673,25.0
Ukraine,2017,126968015121.443,44831135,26.0
Ukraine,2018,131291651249.309,44622518,26.1
United Kingdom,2006,2483917165662.06,60846820,34.6
United Kingdom,2007,2542551914678.86,61322463,35.7
United Kingdom,2008,2535463784367.3,61806995,34.1
United Kingdom,2009,2431156088971.62,62276270,34.3
United Kingdom,2010,2481579504997.81,62766365,34.4
United Kingdom,2011,2513237223477.67,63258810,33.2
United Kingdom,2012,2549186468912.68,63700215,32.3
United Kingdom,2013,2604914574687.66,64128273,33.2
United Kingdom,2014,2679486211063.81,64602298,34.0
United Kingdom,2015,2742804332759.55,65116219,33.2
United Kingdom,2016,2790046007973.58,65611593,34.8
United Kingdom,2017,2838601442114.14,66058859,35.1
United Kingdom,2018,2874157497314.14,66460344,
